target,drug,cellline,sigid,concentration,gene,expression_value
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000359380,0.5889126062393188
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000250559,0.911361813545227
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000345957,-0.8123073577880859
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000392330,-0.6113494634628296
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000342070,1.3725011348724363
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000325448,-0.6309587359428406
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000355890,0.05262836068868637
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000342026,-1.188137769699097
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000326031,0.40928298234939575
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000256255,0.4512349963188171
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000358814,-0.5091109275817871
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000330408,-0.07542751729488373
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000456200,-0.07542751729488373
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000305260,0.1965765804052353
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000296417,-0.5265326499938965
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000268712,-0.4638091623783112
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000379888,0.27623075246810913
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000320949,-0.059523023664951324
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000360316,0.5799804925918579
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000261890,0.03566896915435791
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000378394,-0.4117567241191864
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000244061,0.49544957280159
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000392270,-0.7195561528205872
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000357799,-0.06834077835083008
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000286788,-0.9038875102996826
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000370589,0.17593544721603396
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000262193,0.06755784153938292
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000377958,-0.40389734506607056
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000263734,-0.5149334669113159
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000369127,-0.15400485694408414
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000357879,-0.04779348522424698
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000268379,-0.72966468334198
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000299198,0.4765547811985016
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000285735,-0.7383001446723938
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000359991,-0.0813305675983429
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000354394,0.012032411992549895
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000244763,-0.964671552181244
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000416959,-0.41848844289779663
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000001008,-1.2977676391601562
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000357189,-0.9826769828796388
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000354850,0.1855734884738922
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000000412,1.7646751403808594
